EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
PerformanceLevel,AssessmentReportingMethod,AssessmentReportingMethodDescriptor,Descriptor,0,"The method that the instructor of the class uses to report the performance and achievement. It may be a qualitative method such as individualized teacher comments or a quantitative method such as a letter or numerical grade. In some cases, more than one type of reporting method may be used.",,Assessment Score Metrict Type,Has Option Set,The specific method used to report the performance and achievement of the assessment. This is the metric that is being used to derive the scores.,000369,,Yes,DimAssessmentResults,AssessmentScoreMetricTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200047,Assessment Subtest,,,http://ceds.ed.gov/terms#P000369,Has Assessment Score Metric Type,hasAssessmentScoreMetricType,http://ceds.ed.gov/terms#C000369
StudentAcademicRecord,Term,TermDescriptor,Descriptor,0,The term for the session during the school year.,,Session Type,Has Option Set,"A prescribed span of time when an education institution is open, instruction is provided, and students are under the direction and guidance of teachers and/or education institution administration. A session may be interrupted by one or more vacations.",000254,,Yes,,,,,,,http://ceds.ed.gov/terms#C200245,Organization Calendar Session,http://ceds.ed.gov/terms#C000254,Session Type,http://ceds.ed.gov/terms#P000254,Has Session Type,hasSessionType,http://ceds.ed.gov/terms#C000254
ScoreResult,AssessmentReportingMethod,AssessmentReportingMethodDescriptor,Descriptor,0,The method that the administrator of the assessment uses to report the performance and achievement of all students. It may be a qualitative method such as performance level descriptors or a quantitative method such as a numerical grade or cut score. More than one type of reporting method may be used.,,Assessment Score Metrict Type,Has Option Set,The specific method used to report the performance and achievement of the assessment. This is the metric that is being used to derive the scores.,000369,,Yes,DimAssessmentResults,AssessmentScoreMetricTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200047,Assessment Subtest,,,http://ceds.ed.gov/terms#P000369,Has Assessment Score Metric Type,hasAssessmentScoreMetricType,http://ceds.ed.gov/terms#C000369
AssessmentScoreRangeLearningStandard,AssessmentReportingMethod,AssessmentReportingMethodDescriptor,Descriptor,0,"The assessment reporting method defined (e.g., scale score, RIT scale score) associated with the referenced learning standard(s).",,Assessment Score Metrict Type,Has Option Set,The specific method used to report the performance and achievement of the assessment. This is the metric that is being used to derive the scores.,000369,,Yes,DimAssessmentResults,AssessmentScoreMetricTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200047,Assessment Subtest,,,http://ceds.ed.gov/terms#P000369,Has Assessment Score Metric Type,hasAssessmentScoreMetricType,http://ceds.ed.gov/terms#C000369
AttendanceEvent,AttendanceEventCategory,AttendanceEventCategoryDescriptor,Descriptor,0,"A code describing the attendance event, for example: Present Unexcused absence Excused absence Tardy.",,Attendance Status,Has Option Set,The status of a person's attendance associated with an Attendance Event Type and Attendance Event Date in an organization-person-role context.,000076,,Yes,,,,,,,http://ceds.ed.gov/terms#C200351,Role Attendance Event,http://ceds.ed.gov/terms#C000076,Attendance Status,http://ceds.ed.gov/terms#P000076,Has Attendance Status,hasAttendanceStatus,http://ceds.ed.gov/terms#C000076
StudentEducationOrganizationAssociation,BarrierToInternetAccessInResidence,BarrierToInternetAccessInResidenceDescriptor,Descriptor,0,An indication of the barrier to having internet access in the student?s primary place of residence.,,Barrier to Internet Access In Residence,Has Option Set,An indication of the barrier to having internet access in the student's primary place of residence.,001935,,Yes,,,,,,,http://ceds.ed.gov/terms#C200283,Person Digital Access,http://ceds.ed.gov/terms#C001935,Barrier to Internet Access In Residence,http://ceds.ed.gov/terms#P001935,Has Barrier to Internet Access In Residence,hasBarrierToInternetAccessInResidence,http://ceds.ed.gov/terms#C001935
StudentDisciplineIncidentBehaviorAssociation,Behavior,BehaviorDescriptor,Descriptor,0,Describes behavior by category.,,Incident Behavior,Has Option Set,Categories of behavior coded for use in describing an incident.,000509,,Yes,DimIncidentBehaviors,IncidentBehaviorCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200154,Incident,http://ceds.ed.gov/terms#C000509,Incident Behavior,http://ceds.ed.gov/terms#P000509,Has Incident Behavior,hasIncidentBehavior,http://ceds.ed.gov/terms#C000509
Behavior,Behavior,BehaviorDescriptor,Descriptor,0,Describes behavior by category and provides a detailed description.,,,,,000000,This would be relatively easy to add to CEDS,Not in CEDS,,,,,,,,,,,,,,
CTEProgramService,CTEProgramService,CTEProgramServiceDescriptor,Descriptor,0,Indicates the service being provided to the student by the CTE program.,,Career Cluster,Has Option Set,"The career cluster that defines the industry or occupational focus which may be associated with a career pathways program, plan of study, or course.",001288,,Yes,DimK12Courses,CareerClusterCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200003,Postsecondary Student Program,http://ceds.ed.gov/terms#C001288,Career Cluster,http://ceds.ed.gov/terms#P001288,Has Career Cluster,hasCareerCluster,http://ceds.ed.gov/terms#C001288
Course,CareerPathway,CareerPathwayDescriptor,Descriptor,0,Indicates the career cluster or pathway the course is associated with as part of a CTE curriculum.,,Career Cluster,Has Option Set,"The career cluster that defines the industry or occupational focus which may be associated with a career pathways program, plan of study, or course.",001288,Is this the same thing in Ed-Fi as the CTE Program Service Descriptor?,Yes,DimK12Courses,CareerClusterCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200003,Postsecondary Student Program,http://ceds.ed.gov/terms#C001288,Career Cluster,http://ceds.ed.gov/terms#P001288,Has Career Cluster,hasCareerCluster,http://ceds.ed.gov/terms#C001288
School,CharterApprovalAgencyType,CharterApprovalAgencyTypeDescriptor,Descriptor,0,The type of agency that approved the establishment or continuation of a charter school.,,Charter School Authorizer Type,Has Option Set,The type of agency that authorized the establishment or continuation of a charter school.,001292,,Yes,,,,,,,http://ceds.ed.gov/terms#C200184,K12 Charter School Authorizer Agency,http://ceds.ed.gov/terms#C001292,Charter School Authorizer Type,http://ceds.ed.gov/terms#P001292,Has Charter School Authorizer Type,hasCharterSchoolAuthorizerType,http://ceds.ed.gov/terms#C001292
LocalEducationAgency,CharterStatus,CharterStatusDescriptor,Descriptor,0,A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school.,,Charter School Open Enrollment Indicator,Has Option Set,Indicates that the charter school offers open enrollment.,001548,Combination of Charter School Open Enrollment Indicator and Charter School Type,Yes,,,,,,,http://ceds.ed.gov/terms#C200199,K12 School,http://ceds.ed.gov/terms#C001548,Charter School Open Enrollment Indicator,http://ceds.ed.gov/terms#P001548,Has Charter School Open Enrollment Indicator,hasCharterSchoolOpenEnrollmentIndicator,http://ceds.ed.gov/terms#C001548
LocalEducationAgency,CharterStatus,CharterStatusDescriptor,Descriptor,0,A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school.,,Charter School Type,Has Option Set,The category of charter school.,000710,Combination of Charter School Open Enrollment Indicator and Charter School Type,Yes,,,,,,,http://ceds.ed.gov/terms#C200199,K12 School,http://ceds.ed.gov/terms#C000710,Charter School Type,http://ceds.ed.gov/terms#P000710,Has Charter School Type,hasCharterSchoolType,http://ceds.ed.gov/terms#C000710
School,CharterStatus,CharterStatusDescriptor,Descriptor,0,A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school.,,Charter School Open Enrollment Indicator,Has Option Set,Indicates that the charter school offers open enrollment.,001548,Combination of Charter School Open Enrollment Indicator and Charter School Type,Yes,,,,,,,http://ceds.ed.gov/terms#C200199,K12 School,http://ceds.ed.gov/terms#C001548,Charter School Open Enrollment Indicator,http://ceds.ed.gov/terms#P001548,Has Charter School Open Enrollment Indicator,hasCharterSchoolOpenEnrollmentIndicator,http://ceds.ed.gov/terms#C001548
PerformanceEvaluation (TPDM),Term,TermDescriptor,Descriptor,0,The term for the session during the school year.,,Session Type,Has Option Set,"A prescribed span of time when an education institution is open, instruction is provided, and students are under the direction and guidance of teachers and/or education institution administration. A session may be interrupted by one or more vacations.",000254,,Yes,,,,,,,http://ceds.ed.gov/terms#C200245,Organization Calendar Session,http://ceds.ed.gov/terms#C000254,Session Type,http://ceds.ed.gov/terms#P000254,Has Session Type,hasSessionType,http://ceds.ed.gov/terms#C000254
School,CharterStatus,CharterStatusDescriptor,Descriptor,0,A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school.,,Charter School Type,Has Option Set,The category of charter school.,000710,Combination of Charter School Open Enrollment Indicator and Charter School Type,Yes,,,,,,,http://ceds.ed.gov/terms#C200199,K12 School,http://ceds.ed.gov/terms#C000710,Charter School Type,http://ceds.ed.gov/terms#P000710,Has Charter School Type,hasCharterSchoolType,http://ceds.ed.gov/terms#C000710
Citizenship,CitizenshipStatus,CitizenshipStatusDescriptor,Descriptor,0,An indicator of whether or not the person is a U.S. citizen.,,United States Citizenship Status,Has Option Set,An indicator of whether or not the person is a US citizen.,000299,,Yes,DimPsCitizenshipStatuses,UnitedStatesCitizenshipStatusCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200014,Person Citizenship,http://ceds.ed.gov/terms#C000299,United States Citizenship Status,http://ceds.ed.gov/terms#P000299,Has United States Citizenship Status,hasUnitedStatesCitizenshipStatus,http://ceds.ed.gov/terms#C000299
StaffSectionAssociation,ClassroomPosition,ClassroomPositionDescriptor,Descriptor,0,The type of position the staff member holds in the specific class/section.,,Classroom Position Type,Has Option Set,The type of position the staff member holds in the specific course section.,000622,,Yes,,,,,,,http://ceds.ed.gov/terms#C200120,K12 Staff Assignment,http://ceds.ed.gov/terms#C000622,Classroom Position Type,http://ceds.ed.gov/terms#P000622,Has Classroom Position Type,hasClassroomPositionType,http://ceds.ed.gov/terms#C000622
Cohort,CohortType,CohortTypeDescriptor,Descriptor,0,"The type of cohort (e.g., academic intervention, classroom breakout).",,Cohort Description,Alphanumeric - 30 characters maximum,A description of the student cohort.,000711,"This is the closest match, but an option list may make more sense",Yes,,,,,,,http://ceds.ed.gov/terms#C200212,K12 Student Cohort,,,http://ceds.ed.gov/terms#P000711,Cohort Description,CohortDescription,http://www.w3.org/2001/XMLSchema#string
StudentMigrantEducationProgramAssociation,ContinuationOfServicesReason,ContinuationofServicesReasonDescriptor,Descriptor,0,"The ""continuation of services"" provision found in Section 1304(e) of the statute provides that (1) a child who ceases to be a migratory child during a school term shall be eligible for services until the end of such term; (2) a child who is no longer a migratory child may continue to receive services for one additional school year, but only if comparable services are not available through other programs; and (3) secondary school students who were eligible for services in secondary school may continue to be served through credit accrual programs until graduation. Only students who received services at any time during their 36 month eligibility period may continue to receive services (not necessarily the same service).",,Continuation of Services Reason,Has Option Set,Reason why the student is being served under the continuation of services provision of the MEP.,000429,,Yes,DimMigrantStatuses,ContinuationOfServicesReasonCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200320,Program Participation Migrant,http://ceds.ed.gov/terms#C000429,Continuation of Services Reason,http://ceds.ed.gov/terms#P000429,Has Continuation of Services Reason,hasContinuationOfServicesReason,http://ceds.ed.gov/terms#C000429
IdentificationDocument,IssuerCountry,CountryDescriptor,Descriptor,0,Country of origin of the document. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,000000,"This would be the country code, but no way to tie to the document",Not in CEDS,,,,,,,,,,,,,,
InternationalAddress,Country,CountryDescriptor,Descriptor,0,The name of the country. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,Country Code,Has Option Set,The unique two character International Organization for Standardization (ISO) code for the country in which an address is located.,000050,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Person Birthplace,http://ceds.ed.gov/terms#C000050,Country Code,http://ceds.ed.gov/terms#P000050,Has Country Code,hasCountryCode,http://ceds.ed.gov/terms#C000050
BirthData,BirthCountry,CountryDescriptor,Descriptor,0,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,Country of Birth Code,Has Option Set,The unique two digit International Organization for Standardization (ISO) code for the country in which a person is born.,000051,,Yes,,,,,,,http://ceds.ed.gov/terms#C200278,Person Birthplace,http://ceds.ed.gov/terms#C000051,Country of Birth Code,http://ceds.ed.gov/terms#P000051,Has Country of Birth Code,hasCountryOfBirthCode,http://ceds.ed.gov/terms#C000051
Course,CourseGPAApplicability,CourseGPAApplicabilityDescriptor,Descriptor,0,"An indicator of whether or not the course being described is included in the computation of the student's grade point average, and if so, if it is weighted differently from regular courses.",,Course Grade Point Average Applicability,Has Option Set,An indicator of whether or not this course being described is included in the computation of the student?s Grade Point Average (GPA).,000060,,Yes,,,,,,,http://ceds.ed.gov/terms#C200090,Postsecondary Section,http://ceds.ed.gov/terms#C000060,Course Grade Point Average Applicability,http://ceds.ed.gov/terms#P000060,Has Course Grade Point Average Applicability,hasCourseGPAApplicability,http://ceds.ed.gov/terms#C000060
CourseIdentificationCode,CourseIdentificationSystem,CourseIdentificationSystemDescriptor,Descriptor,0,A system that is used to identify the organization of subject matter and related learning experiences provided for the instruction of students.,,Course Code System,Has Option Set,A system that is used to identify the organization of subject matter and related learning experiences provided for the instruction of students.,000056,What is the difference between Course Defined By Descriptor and Course Identification System Descriptor,Yes,,,,,,,http://ceds.ed.gov/terms#C200252,Organization Identification,http://ceds.ed.gov/terms#C000056,Course Code System,http://ceds.ed.gov/terms#P000056,Has Course Code System,hasCourseCodeSystem,http://ceds.ed.gov/terms#C000056
Course,CourseLevelCharacteristic,CourseLevelCharacteristicDescriptor,Descriptor,0,"The type of specific program or designation with which the course is associated (e.g., AP, IB, Dual Credit, CTE).",,Course Level Characteristic,Has Option Set,An indication of the general nature and difficulty of instruction provided throughout a course.,000061,,Yes,,,,,,,http://ceds.ed.gov/terms#C200072,Course,http://ceds.ed.gov/terms#C000061,Course Level Characteristic,http://ceds.ed.gov/terms#P000061,Has Course Level Characteristic,hasCourseLevelCharacteristic,http://ceds.ed.gov/terms#C000061
CourseOffering,CourseLevelCharacteristic,CourseLevelCharacteristicDescriptor,Descriptor,0,"The type of specific program or designation with which the course offering is associated (e.g., AP, IB, Dual Credit, CTE). This collection should only be populated if it differs from the course level characteristics identified at the course level.",,Course Level Characteristic,Has Option Set,An indication of the general nature and difficulty of instruction provided throughout a course.,000061,,Yes,,,,,,,http://ceds.ed.gov/terms#C200072,Course,http://ceds.ed.gov/terms#C000061,Course Level Characteristic,http://ceds.ed.gov/terms#P000061,Has Course Level Characteristic,hasCourseLevelCharacteristic,http://ceds.ed.gov/terms#C000061
Section,CourseLevelCharacteristic,CourseLevelCharacteristicDescriptor,Descriptor,0,The type of specific program or designation with which the section is associated. This collection should only be populated if it differs from the course level characteristics identified at the course offering level.,,Course Level Characteristic,Has Option Set,An indication of the general nature and difficulty of instruction provided throughout a course.,000061,,Yes,,,,,,,http://ceds.ed.gov/terms#C200072,Course,http://ceds.ed.gov/terms#C000061,Course Level Characteristic,http://ceds.ed.gov/terms#P000061,Has Course Level Characteristic,hasCourseLevelCharacteristic,http://ceds.ed.gov/terms#C000061
CourseTranscript,CourseRepeatCode,CourseRepeatCodeDescriptor,Descriptor,0,Indicates that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,Course Repeat Code,Has Option Set,Indicates that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,000065,,Yes,,,,,,,http://ceds.ed.gov/terms#C200213,Postsecondary Student Section,http://ceds.ed.gov/terms#C000065,Course Repeat Code,http://ceds.ed.gov/terms#P000065,Has Course Repeat Code,hasCourseRepeatCode,http://ceds.ed.gov/terms#C000065
Credential,CredentialType,CredentialTypeDescriptor,Descriptor,0,An indication of the category of credential an individual holds.,,Credential Type,Has Option Set,An indication of the category of credential a person holds.,000071,,Yes,,,,,,,http://ceds.ed.gov/terms#C200280,Person Credential,http://ceds.ed.gov/terms#C000071,Credential Type,http://ceds.ed.gov/terms#P000071,Has Credential Type,hasCredentialType,http://ceds.ed.gov/terms#C000071
CreditsByCreditCategory,CreditCategory,CreditCategoryDescriptor,Descriptor,0,A categorization for the course transcript credits awarded in the course transcript.,,Additional Credit Type,Has Option Set,The type of credits or units of value available for the completion of a course in addition to Carnegie Units.,000596,,Yes,,,,,,,http://ceds.ed.gov/terms#C200090,Course Section,http://ceds.ed.gov/terms#C000596,Additional Credit Type,http://ceds.ed.gov/terms#P000596,Has Additional Credit Type,hasAdditionalCreditType,http://ceds.ed.gov/terms#C000596
CourseTranscript,CreditCategory,CreditCategoryDescriptor,Descriptor,0,A categorization for the course transcript credits awarded in the course transcript.,,Additional Credit Type,Has Option Set,The type of credits or units of value available for the completion of a course in addition to Carnegie Units.,000596,,Yes,,,,,,,http://ceds.ed.gov/terms#C200090,Course Section,http://ceds.ed.gov/terms#C000596,Additional Credit Type,http://ceds.ed.gov/terms#P000596,Has Additional Credit Type,hasAdditionalCreditType,http://ceds.ed.gov/terms#C000596
Credits,CreditType,CreditTypeDescriptor,Descriptor,0,The type of credits or units of value awarded for the completion of a course.,,Credit Unit Type,Has Option Set,The type of credits or units of value awarded for the completion of a course.,000072,,Yes,,,,,,,http://ceds.ed.gov/terms#C200090,K12 Student Course Section,http://ceds.ed.gov/terms#C000072,Credit Unit Type,http://ceds.ed.gov/terms#P000072,Has Credit Unit Type,hasCreditUnitType,http://ceds.ed.gov/terms#C000072
CrisisEvent,CrisisType,CrisisTypeDescriptor,Descriptor,0,The type or category of crisis.,,Crisis Type,Alphanumeric - 45 characters maximum,"The type or category of crisis (ex., chemical, earthquake, flood, wildfire, etc.).",000613,Would need to create an option set in CEDS rather than description field,Yes,,,,,,,http://ceds.ed.gov/terms#C200242,Organization Calendar Crisis,,,http://ceds.ed.gov/terms#P000613,Crisis Type,CrisisType,http://www.w3.org/2001/XMLSchema#string
Intervention,DeliveryMethod,DeliveryMethodDescriptor,Descriptor,0,The way in which an intervention was implemented.,,Method of Service Delivery,Alphanumeric - 60 characters maximum,The method by which the services will be provided.,001510,,Yes,,,,,,,http://ceds.ed.gov/terms#C200172,Individualized Program Service,http://ceds.ed.gov/terms#C001510,Method of Service Delivery,http://ceds.ed.gov/terms#P001510,Has Method of Service Delivery,hasMethodOfServiceDelivery,http://ceds.ed.gov/terms#C001510
InterventionPrescription,DeliveryMethod,DeliveryMethodDescriptor,Descriptor,0,"The way in which an intervention was implemented: individual, small group, whole class, or whole school.",,Method of Service Delivery,Alphanumeric - 60 characters maximum,The method by which the services will be provided.,001510,,Yes,,,,,,,http://ceds.ed.gov/terms#C200172,Individualized Program Service,http://ceds.ed.gov/terms#C001510,Method of Service Delivery,http://ceds.ed.gov/terms#P001510,Has Method of Service Delivery,hasMethodOfServiceDelivery,http://ceds.ed.gov/terms#C001510
InterventionStudy,DeliveryMethod,DeliveryMethodDescriptor,Descriptor,0,"The way in which an intervention was implemented: individual, small group, whole class, or whole school.",,Method of Service Delivery,Alphanumeric - 60 characters maximum,The method by which the services will be provided.,001510,,Yes,,,,,,,http://ceds.ed.gov/terms#C200172,Individualized Program Service,http://ceds.ed.gov/terms#C001510,Method of Service Delivery,http://ceds.ed.gov/terms#P001510,Has Method of Service Delivery,hasMethodOfServiceDelivery,http://ceds.ed.gov/terms#C001510
Diploma,DiplomaLevel,DiplomaLevelDescriptor,Descriptor,0,The level of diploma/credential that is awarded to a student in recognition of completion of the curricular requirements.,,High School Diploma Distinction Type,Has Option Set,The distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.,000713,,Yes,,,,,,,http://ceds.ed.gov/terms#C200210,K12 Student Academic Record,http://ceds.ed.gov/terms#C000713,High School Diploma Distinction Type,http://ceds.ed.gov/terms#P000713,Has High School Diploma Distinction Type,hasHighSchoolDiplomaDistinctionType,http://ceds.ed.gov/terms#C000713
Diploma,DiplomaType,DiplomaTypeDescriptor,Descriptor,0,The type of diploma/credential that is awarded to a student in recognition of his/her completion of the curricular requirements.,,High School Diploma Type,Has Option Set,The type of diploma/credential that is awarded to a person in recognition of his/her completion of the curricular requirements.,000138,,Yes,DimK12AcademicAwardStatuses,HighSchoolDiplomaTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200006,K12 Student Academic Record,http://ceds.ed.gov/terms#C000138,High School Diploma Type,http://ceds.ed.gov/terms#P000138,Has High School Diploma Type,hasHighSchoolDiplomaType,http://ceds.ed.gov/terms#C000138
Disability,Disability,DisabilityDescriptor,Descriptor,0,A disability category that describes a individual's impairment.,,Disability Condition Type,Has Option Set,Codes identifying the set of disability conditions.,001320,Default though to either IDEA Disability Type or Disability Condition Type,Yes,DimDisabilityStatuses,DisabilityConditionTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200285,Person Disability,http://ceds.ed.gov/terms#C001320,Disability Condition Type,http://ceds.ed.gov/terms#P001320,Has Disability Condition Type,hasDisabilityConditionType,http://ceds.ed.gov/terms#C001320
Disability,DisabilityDeterminationSourceType,DisabilityDeterminationSourceTypeDescriptor,Descriptor,0,The source that provided the disability determination.,,Disability Determination Source Type,Has Option Set,Codes identifying the set of disability determination sources.,001321,,Yes,DimDisabilityStatuses,DisabilityDeterminationSourceTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200285,Person Disability,http://ceds.ed.gov/terms#C001321,Disability Determination Source Type,http://ceds.ed.gov/terms#P001321,Has Disability Determination Source Type,hasDisabilityDeterminationSourceType,http://ceds.ed.gov/terms#C001321
DisciplineAction,DisciplineActionLengthDifferenceReason,DisciplineActionLengthDifferenceReasonDescriptor,Descriptor,0,"Indicates the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.",,Discipline Action Length Difference Reason,Has Option Set,"The reason for the difference, if any, between the official and actual lengths of a student?s disciplinary assignment.",000609,,Yes,,,,,,,http://ceds.ed.gov/terms#C200215,K12 Student Discipline,http://ceds.ed.gov/terms#C000609,Discipline Action Length Difference Reason,http://ceds.ed.gov/terms#P000609,Has Discipline Action Length Difference Reason,hasDisciplineActionLengthDifferenceReason,http://ceds.ed.gov/terms#C000609
DisciplineAction,Discipline,DisciplineDescriptor,Descriptor,0,"Type of action, such as removal from the classroom, used to discipline the student involved as a perpetrator in a discipline incident.",,Disciplinary Action Taken,Has Option Set,Identifies the consequences of an incident for the student(s) involved in an incident as perpetrator(s).,000488,,Yes,DimDisciplineStatuses,DisciplinaryActionTakenCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200215,K12 Student Discipline,http://ceds.ed.gov/terms#C000488,Disciplinary Action Taken,http://ceds.ed.gov/terms#P000488,Has Disciplinary Action Taken,hasDisciplinaryActionTaken,http://ceds.ed.gov/terms#C000488
StaffDisciplineIncidentAssociation,DisciplineIncidentParticipationCode,DisciplineIncidentParticipationCodeDescriptor,Descriptor,0,The role or type of participation of a student in a discipline incident.,,Incident Person Role Type,Has Option Set,The role or type of participation of a person in a discipline incident.,001373,,Yes,,,,,,,http://ceds.ed.gov/terms#C200156,Incident Person,http://ceds.ed.gov/terms#C001373,Incident Person Role Type,http://ceds.ed.gov/terms#P001373,Has Incident Person Role Type,hasIncidentPersonRoleType,http://ceds.ed.gov/terms#C001373
StudentDisciplineIncidentBehaviorAssociation,DisciplineIncidentParticipationCode,DisciplineIncidentParticipationCodeDescriptor,Descriptor,0,The role or type of participation of a student in a discipline incident.,,Incident Person Role Type,Has Option Set,The role or type of participation of a person in a discipline incident.,001373,,Yes,,,,,,,http://ceds.ed.gov/terms#C200156,Incident Person,http://ceds.ed.gov/terms#C001373,Incident Person Role Type,http://ceds.ed.gov/terms#P001373,Has Incident Person Role Type,hasIncidentPersonRoleType,http://ceds.ed.gov/terms#C001373
StudentDisciplineIncidentNonOffenderAssociation,DisciplineIncidentParticipationCode,DisciplineIncidentParticipationCodeDescriptor,Descriptor,0,The role or type of participation of a student in a discipline incident.,,Incident Person Role Type,Has Option Set,The role or type of participation of a person in a discipline incident.,001373,,Yes,,,,,,,http://ceds.ed.gov/terms#C200156,Incident Person,http://ceds.ed.gov/terms#C001373,Incident Person Role Type,http://ceds.ed.gov/terms#P001373,Has Incident Person Role Type,hasIncidentPersonRoleType,http://ceds.ed.gov/terms#C001373
DisciplineIncidentExternalParticipant,DisciplineIncidentParticipationCode,DisciplineIncidentParticipationCodeDescriptor,Descriptor,0,The role or type of participation of an individual in the discipline incident.,,Incident Person Role Type,Has Option Set,The role or type of participation of a person in a discipline incident.,001373,,Yes,,,,,,,http://ceds.ed.gov/terms#C200156,Incident Person,http://ceds.ed.gov/terms#C001373,Incident Person Role Type,http://ceds.ed.gov/terms#P001373,Has Incident Person Role Type,hasIncidentPersonRoleType,http://ceds.ed.gov/terms#C001373
DisplacedStudent,DisplacedStudentStatus,DisplacedStudentStatusDescriptor,Descriptor,0,Indicates whether a student has been displaced as a result of a crisis event.,,Displaced Student Status,Has Option Set,"A student who was enrolled, or eligible for enrollment, but has enrolled in another place because of a crisis.",000610,But would require more options,Yes,,,,,,,http://ceds.ed.gov/terms#C200219,Postsecondary Student Enrollment,http://ceds.ed.gov/terms#C000610,Displaced Student Status,http://ceds.ed.gov/terms#P000610,Has Displaced Student Status,hasDisplacedStudentStatus,http://ceds.ed.gov/terms#C000610
StudentAssessmentEducationOrganizationAssociation,EducationOrganizationAssociationType,EducationOrganizationAssociationTypeDescriptor,Descriptor,0,The type of association being represented.,,Responsible Organization Type,Has Option Set,The type of responsibility the organization has for the student.,001467,,Yes,,,,,,,http://ceds.ed.gov/terms#C200197,K12 Organization Student Responsibility,http://ceds.ed.gov/terms#C001467,Responsible Organization Type,http://ceds.ed.gov/terms#P001467,Has Responsible Organization Type,hasResponsibleOrganizationType,http://ceds.ed.gov/terms#C001467
EducationOrganization,EducationOrganizationCategory,EducationOrganizationCategoryDescriptor,Descriptor,0,The classification of the education agency within the geographic boundaries of a state according to the level of administrative and operational control granted by the state.,,Organization Type,Has Option Set,The type of educational organization or entity.,001156,,Yes,,,,OrganizationAddress,OrganizationType,varchar(100),,,http://ceds.ed.gov/terms#C001156,Organization Type,,,,
EducationOrganizationIdentificationCode,EducationOrganizationIdentificationSystem,EducationOrganizationIdentificationSystemDescriptor,Descriptor,0,"The school system, state, or agency assigning the identification code.",,Organization Identification System,Has Option Set,"A coding scheme that is used for identification and record-keeping purposes by schools, social services, or other agencies to refer to an organization.",000827,,Yes,,,,,,,http://ceds.ed.gov/terms#C200252,Organization Identification,http://ceds.ed.gov/terms#C000827,Organization Identification System,http://ceds.ed.gov/terms#P000827,Has Organization Identification System,hasOrganizationIdentificationSystem,http://ceds.ed.gov/terms#C000827
EducationOrganizationIdentificationCode,EducationOrganizationIdentificationSystem,EducationOrganizationIdentificationSystemDescriptor,Descriptor,0,"The school system, state, or agency assigning the identification code.",,Local Education Agency Identification System,Has Option Set,"A coding scheme that is used for identification and record-keeping purposes by schools, social services, or other agencies to refer to a local education agency.",001072,,Yes,,,,,,,http://ceds.ed.gov/terms#C200252,Organization Identification,http://ceds.ed.gov/terms#C001072,Local Education Agency Identification System,http://ceds.ed.gov/terms#P001072,Has Local Education Agency Identification System,hasLEAIdentificationSystem,http://ceds.ed.gov/terms#C001072
